1,1677828314,1677828315,yuchuanfeng,20
1,1677829444,1677829445,yuchuanfeng,20
0,1677829549,1677829549,yuchuanfeng,20
0,1677829575,1677829575,yuchuanfeng,20
1,1677830489,1677830490,yuchuanfeng,20
0,1677830495,1677830495,yuchuanfeng,20
1,1677830530,1677830531,yuchuanfeng,20
0,1677830542,1677830542,yuchuanfeng,20
1,1677830754,1677830755,yuchuanfeng,20
0,1677831252,1677831252,yuchuanfeng,20
1,1677831394,1677831395,yuchuanfeng,20
0,1677831404,1677831404,yuchuanfeng,20
2,1677831692,1677831694,yuchuanfeng,20
0,1677831698,1677831698,yuchuanfeng,20
1,1677832053,1677832054,yuchuanfeng,20
2,1677832483,1677832485,yuchuanfeng,20
2,1677832597,1677832599,yuchuanfeng,20
1,1677832898,1677832899,yuchuanfeng,20
0,1677832900,1677832900,yuchuanfeng,20
2,1677833024,1677833026,yuchuanfeng,20
0,1677833211,1677833211,yuchuanfeng,20
0,1677833600,1677833600,yuchuanfeng,20
0,1677833748,1677833748,yuchuanfeng,20
1,1677833840,1677833841,yuchuanfeng,20
2,1677834152,1677834154,yuchuanfeng,20
1,1677834367,1677834368,yuchuanfeng,20
0,1677834370,1677834370,yuchuanfeng,20
1,1677834623,1677834624,yuchuanfeng,20
4,1677834783,1677834787,yuchuanfeng,20
2,1677834932,1677834934,yuchuanfeng,20
1,1677834996,1677834997,yuchuanfeng,20
2,1677835203,1677835205,yuchuanfeng,20
2,1677835319,1677835321,yuchuanfeng,20
1,1677835566,1677835567,yuchuanfeng,20
1,1677835603,1677835604,yuchuanfeng,20
2,1677835932,1677835934,yuchuanfeng,20
1,1677836002,1677836003,yuchuanfeng,20
3,1677837819,1677837822,yuchuanfeng,20
1,1677838013,1677838014,yuchuanfeng,20
0,1677838021,1677838021,yuchuanfeng,20
1,1677838036,1677838037,yuchuanfeng,20
1,1677843122,1677843123,yuchuanfeng,20
1,1677843274,1677843275,yuchuanfeng,20
1,1677843354,1677843355,yuchuanfeng,20
1,1677843768,1677843769,yuchuanfeng,20
0,1677843770,1677843770,yuchuanfeng,20
2,1677843858,1677843860,yuchuanfeng,20
0,1677843901,1677843901,yuchuanfeng,20
1,1677844016,1677844017,yuchuanfeng,20
1,1677844047,1677844048,yuchuanfeng,20
0,1677844081,1677844081,yuchuanfeng,20
1,1677845381,1677845382,yuchuanfeng,20
0,1677845572,1677845572,yuchuanfeng,20
0,1677845577,1677845577,yuchuanfeng,20
0,1677845594,1677845594,yuchuanfeng,20
0,1677845614,1677845614,yuchuanfeng,20
1,1677845804,1677845805,yuchuanfeng,20
0,1677845968,1677845968,yuchuanfeng,20
0,1677846031,1677846031,yuchuanfeng,20
3,1677846175,1677846178,yuchuanfeng,20
7,1678264325,1678264332,yuchuanfeng,20
